 ,Area,Mean,Min,Max
437,65,10867.615,9939,11630
438,14,10137.643,9383,10594
439,38,10465.895,9764,11416
440,66,10193.970,9306,11154
441,57,10285.105,9440,10811
442,28,10224.286,9625,10712
443,51,10468.490,9835,10931
444,76,24820.553,12966,34176
445,133,19170.188,12632,33481
446,51,11450.922,10674,12333
447,12,9955.917,9619,10512
448,20,10435.250,10052,10950
449,23,10715.435,10303,11108
450,38,10760.421,10160,11296
451,97,10997.619,10010,12447
452,95,10625.495,9870,11420
453,55,9658.109,8890,10644
454,111,23288.234,14160,45641
455,62,11266.823,10696,12011
456,125,15999.880,11511,22397
457,24,10777.583,10211,11464
458,35,9870.800,9341,10465
459,64,10588.938,9926,11325
460,93,11841.032,10199,13828
461,131,29511.702,19953,58397
462,96,28131.604,15140,42606
463,99,20933.657,13579,29343
464,83,23210.181,12984,31969
465,75,22465.147,15782,28809
466,2,9773.000,9339,10207
467,59,10051.797,9512,10670
468,38,10672.421,10038,11300
469,61,17784.918,13274,21619
470,288,22318.226,11786,56047
471,86,17987.105,11018,25575
472,44,10219.682,9280,10887
473,40,11004.025,10273,11771
474,52,10427.635,9631,10960
475,99,13761.889,10221,18706
476,39,9524.256,8791,10313
477,42,10255.167,9612,11047
478,62,9693.887,9261,10236
479,294,23046.170,13437,51657
480,85,10327.141,9485,10967
481,74,18023.527,11468,23807
482,64,10331.812,9605,11043
483,63,10810.111,10223,11802
484,86,21389.047,12160,31352
485,43,10976.535,10365,11708
486,43,10024.814,9424,10761
487,80,11700.962,10141,14059
488,70,26852.143,15429,38790
489,59,10281.458,9666,11164
490,86,20840.430,14254,27347
491,21,10158.476,9555,10662
492,15,11630.133,10882,12297
493,27,9808.963,9342,10287
494,69,16796.159,13071,20898
495,90,26023.267,15158,38505
496,47,9450.574,8980,10033
497,34,9850.588,9295,10398
498,22,10832.591,9986,11912
499,91,10248.308,9382,11246
500,67,20299.687,13622,26729
501,10,9500.100,8887,9942
502,47,10119.043,8957,10746
503,36,9642.000,9257,10263
504,93,24394.677,12546,36607
505,60,10424.967,9742,11409
506,75,10241.280,9578,11171
507,33,11923.909,10471,13808
508,118,25151.059,14069,39671
509,98,19564.908,11125,29717
510,84,22754.155,14363,31681
511,121,16216.554,10448,24645
512,84,16011.417,10965,21567
