Trial,Marker,label,area,mask_intensity,weighted_centroid-0,weighted_centroid-1,target_intensity,size_fraction,expressed,DF_expressed,DF_unexpressed,,,, 
2,Positive,19,90,6920.22222222222,24.3814007257313,434.836748980444,24736.3555555556,0.633333333333333,True,24736.3555555556,0,,,,
2,Positive,20,99,8973.79797979798,26.6530156257387,260.879710402676,38530.9292929293,0.858585858585859,True,38530.9292929293,0,,,,
2,Positive,21,39,4173.69230769231,25.6966960325359,409.568585892096,19157.4871794872,0,False,0,19157.4871794872,,,,
2,Positive,22,85,6366.18823529412,28.9918096709454,507.558581550323,49046.2352941177,0.929411764705882,True,49046.2352941177,0,,,,
2,Positive,23,52,3310.73076923077,27.3908154137478,577.248963161747,16520.5,0,False,0,16520.5,,,,
2,Positive,24,36,5637.36111111111,27.4584788982237,423.755303160955,23900.0555555556,0.333333333333333,True,23900.0555555556,0,,,,
2,Positive,25,81,6453.59259259259,31.432334559562,357.186178241232,23707.1234567901,0.802469135802469,True,23707.1234567901,0,,,,
2,Positive,26,59,4940.64406779661,30.205380482885,394.775298629836,23519.8983050847,0.508474576271186,True,23519.8983050847,0,,,,
2,Positive,27,85,9249.36470588235,32.5151501661163,371.919905468865,28817.6823529412,0.882352941176471,True,28817.6823529412,0,,,,
2,Positive,28,85,5395.63529411765,32.8511890874759,524.061330617994,22461.2705882353,0.611764705882353,True,22461.2705882353,0,,,,
2,Positive,29,147,9807.59183673469,41.5815923524467,493.760752464424,35295.5714285714,0.476190476190476,True,35295.5714285714,0,,,,
2,Positive,30,32,4068.625,37.5216442901472,152.611155488648,14976.6875,0,False,0,14976.6875,,,,
2,Positive,31,136,9908.13970588235,42.5923241957185,168.750114099593,24918.5882352941,0.625,True,24918.5882352941,0,,,,
2,Positive,32,43,2913.95348837209,40.5901436552275,595.044094173982,16577.7674418605,0,False,0,16577.7674418605,,,,
2,Positive,33,17,3460.35294117647,41.897970285248,221.591881140992,14757.6470588235,0,False,0,14757.6470588235,,,,
2,Positive,34,49,3271.9387755102,44.4333198191174,44.5279276469671,15186.387755102,0,False,0,15186.387755102,,,,
2,Positive,35,144,14695.5277777778,54.5442363417442,393.49071476772,46829.2083333333,0.9375,True,46829.2083333333,0,,,,
2,Positive,37,73,3579.76712328767,50.4363488862442,620.529409963914,20899.2602739726,0.712328767123288,True,20899.2602739726,0,,,,
2,Positive,38,120,12004.4833333333,55.9569424756584,246.200011384635,32336.5083333333,0.741666666666667,True,32336.5083333333,0,,,,
2,Positive,39,144,8858.77083333333,55.9776343752229,540.656025925342,26164.8194444444,0.5625,True,26164.8194444444,0,,,,
2,Positive,40,72,4394.08333333333,53.2110002718302,197.279852326677,15604.7222222222,0,False,0,15604.7222222222,,,,
2,Positive,41,27,3644.7037037037,56.846931620718,26.675439755302,15395.037037037,0,False,0,15395.037037037,,,,
2,Positive,42,84,4878.30952380952,63.3889276632713,455.382548599486,21274.1904761905,0.654761904761905,True,21274.1904761905,0,,,,
2,Positive,43,87,7926.04597701149,64.6077358802493,68.7626884156121,37547.275862069,0.896551724137931,True,37547.275862069,0,,,,
2,Positive,44,54,4243.66666666667,66.8703340053587,327.610094345386,15136.2222222222,0,False,0,15136.2222222222,,,,
2,Positive,45,50,4152.5,68.0729054786273,226.627183624323,16489.66,0,False,0,16489.66,,,,
2,Positive,46,136,8062.41911764706,73.2040111665507,639.789811844898,24210.1102941176,0.558823529411765,True,24210.1102941176,0,,,,
2,Positive,47,133,5941.54887218045,71.7608949844728,476.060990147122,26168.7218045113,0.759398496240602,True,26168.7218045113,0,,,,
2,Positive,48,31,5499.93548387097,68.145092611057,497.424908210067,23213.935483871,0.451612903225806,True,23213.935483871,0,,,,
2,Positive,49,99,9717.31313131313,70.4646107021312,527.865764947288,28900.9494949495,0.818181818181818,True,28900.9494949495,0,,,,
2,Positive,50,51,4320.90196078431,69.6685377962118,20.1316854687202,15837.7843137255,0,False,0,15837.7843137255,,,,
2,Positive,51,100,8556.08,71.4510839075839,272.805095324027,27193.12,0.89,True,27193.12,0,,,,
2,Positive,52,87,5608.42528735632,73.8577038240906,44.744864561323,21102.632183908,0.896551724137931,True,21102.632183908,0,,,,
